aa,Afar,Afaraf
ab,Abkhaz,Аҧсуа
ae,Avestan,avesta
af,Afrikaans,Afrikaans
ak,Akan,Akan
am,Amharic,አማርኛ
an,Aragonese,aragonés
ar,Arabic,العربية
as,Assamese,অসমীয়া
av,Avar,авар мацӀ
ay,Aymara,aymar aru
az,Azerbaijani,azərbaycan dili
ba,Bashkir,башҡорт теле
be,Belarusian,Беларуская
bg,Bulgarian,български език
bh,Bihari,भोजपुरी
bi,Bislama,Bislama
bm,Bambara,bamanankan
bn,Bengali,বাংলা
bo,Tibetan,བོད་ཡིག
br,Breton,brezhoneg
bs,Bosnian,bosanski jezik
ca,Catalan,Valencian
ce,Chechen,нохчийн мотт
ch,Chamorro,Chamoru
co,Corsican,corsu
cr,Cree,ᓀᐦᐃᔭᐍᐏᐣ
cs,Czech,česky
cu,Church Slavic,Old Slavonic
cv,Chuvash,чӑваш чӗлхи
cy,Welsh,Cymraeg
da,Danish,dansk
de,German,Deutsch
dv,Dhivehi,Dhivehi
dz,Dzongkha,རྫོང་ཁ
ee,Ewe,Eʋegbe
el,Modern Greek,Ελληνικά
en,English,English
eo,Esperanto,Esperanto
es,Spanish,Castilian
et,Estonian,eesti
eu,Basque,euskara
fa,Persian,فارسی
ff,Fula,Fulfulde
fi,Finnish,suomi
fj,Fijian,vosa Vakaviti
fo,Faroese,føroyskt
fr,French,français
fy,West Frisian,Frysk
ga,Irish,Gaeilge
gd,Gaelic,Scottish Gaelic
gl,Galician,Galego
gn,Guaraní,Avañe'ẽ
gu,Gujarati,ગુજરાતી
gv,Manx,Gaelg
ha,Hausa,Hausa
he,Modern Hebrew,עברית
hi,Hindi,हिन्दी
ho,Hiri Motu,Hiri Motu
hr,Croatian,hrvatski
ht,Haitian Creole,Haitian Creole
hu,Hungarian,Magyar
hy,Armenian,Հայերեն
hz,Herero,Otjiherero
ia,Interlingua (International Auxiliary Language Association),Interlingua
id,Indonesian,Bahasa Indonesia
ie,Interlingue,Occidental
ig,Igbo,Igbo
ii,Yi,Nuosu
ik,Inupiaq,Iñupiaq
io,Ido,Ido
is,Icelandic,Íslenska
it,Italian,Italiano
iu,Inuktitut,ᐃᓄᒃᑎᑐᑦ
ja,Japanese,日本語 (にほんご／にっぽんご)
jv,Javanese,basa Jawa
ka,Georgian,ქართული
kg,Kongo,KiKongo
ki,Gikuyu,Kikuyu
kj,Kwanyama,Kuanyama
kk,Kazakh,Қазақ тілі
kl,Kalaallisut,Greenlandic
km,Central Khmer,ភាសាខ្មែរ
kn,Kannada,ಕನ್ನಡ
ko,Korean,한국어 (韓國語)
kr,Kanuri,Kanuri
ks,Kashmiri,कश्मीरी
ku,Kurdish,Kurdî
kv,Komi,коми кыв
kw,Cornish,Kernewek
ky,Kyrgyz,Kirgiz
la,Latin,latine
lb,Luxembourgish,Letzeburgesch
lg,Luganda,Luganda
li,Limburgish,Limburgan
ln,Lingala,Lingála
lo,Lao,ພາສາລາວ
lt,Lithuanian,lietuvių kalba
lu,Luba-Katanga,Kiluba
lv,Latvian,latviešu valoda
mg,Malagasy,Malagasy fiteny
mh,Marshallese,Kajin M̧ajeļ
mi,Māori,te reo Māori
mk,Macedonian,македонски јазик
ml,Malayalam,മലയാളം
mn,Mongolian,Монгол
mr,Marathi,मराठी
ms,Malay,bahasa Melayu
mt,Maltese,Malti
my,Burmese,ဗမာစာ
na,Nauruan,Ekakairũ Naoero
nb,Norwegian Bokmål,Norsk bokmål
nd,Northern Ndebele,isiNdebele
ne,Nepali,नेपाली
ng,Ndonga,Owambo
nl,Dutch,Flemish
nn,Norwegian Nynorsk,Norsk nynorsk
no,Norwegian,Norsk
nr,Southern Ndebele,isiNdebele
nv,Navajo,Navaho
ny,Chichewa,Chewa
oc,Occitan (after 1500),Occitan
oj,Anishinaabe,ᐊᓂᔑᓈᐯᒧᐎᓐ
om,Oromo,Afaan Oromoo
or,Oriya,ଓଡ଼ିଆ
os,Ossetic,Ossetian
pa,Punjabi,Panjabi
pi,Pali,Pāli
pl,Polish,polski
ps,Pashto,Pushto
pt,Portuguese,Português
qu,Quechua,Runa Simi
rm,Romansh,rumantsch grischun
rn,Kirundi,kiRundi
ro,Romanian,Moldavian
ru,Russian,Русский язык
rw,Kinyarwanda,Ikinyarwanda
sa,Sanskrit,संस्कृतम्
sc,Sardinian,sardu
sd,Sindhi,सिन्धी
se,Northern Sami,Davvisámegiella
sg,Sango,yângâ tî sängö
si,Sinhala,Sinhalese
sk,Slovak,slovenčina
sl,Slovene,slovenščina
sm,Samoan,gagana fa'a Samoa
sn,Shona,chiShona
so,Somali,Soomaaliga
sq,Albanian,Shqip
sr,Serbian,српски језик
ss,Swati,SiSwati
st,Sotho,Sesotho
su,Sundanese,Basa Sunda
sv,Swedish,svenska
sw,Swahili,Kiswahili
ta,Tamil,தமிழ்
te,Telugu,తెలుగు
tg,Tajik,тоҷикӣ
th,Thai,ไทย
ti,Tigrinya,ትግርኛ
tk,Turkmen,Türkmen
tl,Tagalog,Wikang Tagalog
tn,Tswana,Setswana
to,Tongan (Tonga Islands),faka Tonga
tr,Turkish,Türkçe
ts,Tsonga,Xitsonga
tt,Tatar,татарча
tw,Twi,Twi
ty,Tahitian,Reo Mā`ohi
ug,Uyghur,Uyghur
uk,Ukrainian,українська
ur,Urdu,اردو
uz,Uzbek,O'zbek
ve,Venda,Tshivenḓa
vi,Vietnamese,Tiếng Việt
vo,Volapük,Volapük
wa,Walloon,Walon
wo,Wolof,Wollof
xh,Xhosa,isiXhosa
yi,Yiddish,ייִדיש
yo,Yoruba,Yorùbá
za,Zhuang,Chuang
zh,Chinese,中文 (Zhōngwén)
zu,Zulu,isiZulu